Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,5000,3000,1500,1000,1250,900
2,4962,2957,1486,986,1236,886
3,4913,2913,1472,972,1222,872
4,4865,2868,1462,962,1212,862
5,4802,2820,1450,950,1200,850
6,4755,2770,1430,930,1180,830
7,4696,2724,1423,923,1173,823
8,4636,2674,1410,910,1160,810
9,4566,2626,1399,899,1149,799
10,4502,2586,1394,894,1144,794
11,4449,2543,1383,883,1133,783
12,4386,2498,1370,870,1120,770
13,4322,2453,1362,862,1112,762
14,4259,2403,1342,842,1092,742
15,4204,2360,1337,837,1087,737
16,4156,2314,1328,828,1078,728
17,4081,2269,1311,811,1061,711
18,4008,2228,1291,791,1041,691
19,3964,2179,1282,782,1032,682
20,3906,2139,1266,766,1016,666
21,3841,2093,1253,753,1003,653
22,3775,2043,1246,746,996,646
23,3725,1998,1232,732,982,632
24,3669,1948,1212,712,962,612
25,3628,1899,1204,704,954,604
26,3556,1855,1199,699,949,599
27,3483,1811,1193,693,943,593
28,3432,1770,1175,675,925,575
29,3381,1722,1156,656,906,556
30,3325,1673,1138,638,888,538
31,3266,1627,1121,621,871,521
32,3201,1577,1114,614,864,514
33,3154,1533,1106,606,856,506
34,3108,1493,1101,601,851,501
35,3040,1448,1081,581,831,481
36,2984,1408,1073,573,823,473
37,2937,1359,1053,553,803,453
38,2875,1312,1038,538,788,438
39,2807,1270,1032,532,782,432
40,2742,1224,1015,515,765,415
41,2682,1182,1008,508,758,408
42,2624,1139,988,488,738,388
43,2568,1093,979,479,729,379
44,2514,1045,971,471,721,371
45,2461,1002,963,463,713,363
46,2398,962,946,446,696,346
47,2347,917,936,436,686,336
48,2307,869,931,431,681,331
49,2250,828,925,425,675,325
50,2214,788,912,412,662,312
51,2155,742,906,406,656,306
52,2104,697,892,392,642,292
53,2041,657,876,376,626,276
54,1979,612,867,367,617,267
55,1929,567,862,362,612,262
56,1873,523,844,344,594,244
57,1812,475,824,324,574,224
58,1774,430,817,317,567,217
59,1720,380,799,299,549,199
60,1670,339,783,283,533,183
61,1612,295,766,266,516,166
62,1553,252,747,247,497,147
63,1491,202,733,233,483,133
64,1426,155,719,219,469,119
65,1368,113,709,209,459,109
66,1323,73,698,198,448,98
67,1274,31,682,182,432,82
68,1225,-9,675,175,425,75
