Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,0,0,0,0,0,0
2,92,5,20,14,5,0
3,156,8,19,12,6,0
4,250,6,15,29,10,0
5,343,9,19,22,6,0
6,416,10,16,17,8,0
7,546,8,15,19,11,0
8,646,8,20,5,12,0
9,754,7,22,20,15,0
10,872,5,21,23,7,0
11,945,9,23,18,15,0
12,1017,8,15,25,7,0
13,1090,6,21,25,7,0
14,1211,9,23,9,11,0
15,1324,7,15,18,5,0
16,1439,7,20,8,7,0
17,1525,8,19,8,8,0
18,1628,10,15,17,14,0
19,1722,5,21,17,5,0
20,1787,9,16,13,11,0
21,1873,6,17,12,15,0
22,1987,8,17,30,8,0
23,2055,6,21,18,10,0
24,2148,10,17,12,11,0
25,2265,9,23,20,6,0
26,2366,6,20,7,11,0
27,2475,6,25,11,11,0
28,2587,6,25,24,9,0
29,2659,5,15,29,10,0
30,2771,9,24,13,6,0
31,2874,10,17,14,12,0
32,2968,10,25,28,13,0
33,3073,8,18,25,14,0
34,3194,7,19,28,10,0
35,3278,5,15,21,5,0
36,3369,6,22,13,13,0
37,3469,5,19,14,15,0
38,3539,10,16,6,13,0
39,3607,9,17,22,15,0
40,3705,8,22,10,5,0
41,3807,9,18,11,15,0
42,3873,7,21,29,6,0
43,4003,9,21,17,13,0
44,4119,9,18,5,6,0
45,4230,6,19,28,14,0
46,4328,7,17,21,6,0
47,4421,7,18,24,10,0
48,4547,9,22,30,13,0
49,4663,7,15,25,5,0
50,4731,7,23,8,6,0
51,4829,9,19,8,5,0
52,4943,6,17,27,9,0
53,5018,9,21,24,13,0
54,5145,10,22,11,11,0
55,5261,5,23,13,9,0
56,5353,8,15,26,14,0
57,5465,9,25,20,11,0
58,5553,6,21,5,15,0
59,5636,10,23,10,12,0
60,5720,9,18,28,12,0
61,5825,9,25,13,13,0
62,5918,5,15,19,8,0
63,6035,9,19,17,6,0
64,6095,7,23,25,9,0
65,6205,8,17,19,7,0
66,6323,10,20,26,10,0
67,6398,5,25,20,13,0
68,6462,9,16,8,6,0
