Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,0,0,0,0,0,0
2,85,8,24,8,5,0
3,203,6,17,16,13,0
4,285,9,21,23,8,0
5,400,10,15,8,9,0
6,524,7,17,9,13,0
7,637,8,24,23,12,0
8,723,7,23,13,9,0
9,796,6,17,24,6,0
10,921,7,21,26,10,0
11,997,10,23,19,14,0
12,1057,10,23,25,6,0
13,1128,7,22,15,15,0
14,1204,6,25,27,13,0
15,1290,9,18,23,5,0
16,1380,6,25,9,5,0
17,1502,5,17,20,11,0
18,1616,7,21,13,5,0
19,1712,7,22,8,9,0
20,1825,10,15,15,6,0
21,1949,6,19,15,7,0
22,2066,7,21,17,11,0
23,2146,7,19,30,5,0
24,2240,6,25,27,14,0
25,2353,10,19,30,15,0
26,2469,7,22,28,7,0
27,2581,10,20,16,5,0
28,2672,9,22,17,6,0
29,2776,5,16,30,15,0
30,2893,7,24,30,9,0
31,2985,10,21,16,9,0
32,3060,10,22,14,8,0
33,3170,9,19,30,12,0
34,3266,10,25,22,8,0
35,3360,9,23,14,6,0
36,3465,5,21,16,11,0
37,3578,10,24,12,7,0
38,3691,9,16,16,13,0
39,3781,9,23,16,15,0
40,3859,9,15,13,14,0
41,3927,8,15,14,11,0
42,4006,8,23,13,12,0
43,4120,6,20,16,7,0
44,4192,5,16,11,14,0
45,4256,6,22,21,12,0
46,4332,9,18,7,11,0
47,4446,9,25,28,8,0
48,4558,9,18,20,11,0
49,4656,6,24,26,6,0
50,4779,10,22,9,11,0
51,4907,8,19,8,12,0
52,4996,9,23,28,5,0
53,5103,7,20,20,10,0
54,5183,8,17,8,7,0
55,5274,10,17,27,5,0
56,5361,10,24,12,10,0
57,5432,10,15,10,9,0
58,5546,6,24,17,6,0
59,5654,10,25,8,14,0
60,5783,6,15,19,8,0
61,5901,9,23,22,7,0
62,6009,10,18,15,12,0
63,6109,10,24,28,6,0
64,6190,7,23,14,7,0
65,6263,5,16,18,15,0
66,6363,6,25,5,6,0
67,6490,9,19,23,8,0
