Time-step,Boss,Warrior,Rogue,Mage,Druid,Priest
1,5000,3000,1500,1000,1250,900
2,4949,2951,1491,991,1241,891
3,4892,2909,1472,972,1222,872
4,4833,2863,1454,954,1204,854
5,4775,2813,1443,943,1193,843
6,4725,2768,1428,928,1178,828
7,4658,2721,1412,912,1162,812
8,4617,2675,1392,892,1142,792
9,4562,2629,1375,875,1125,775
10,4501,2585,1366,866,1116,766
11,4436,2533,1359,859,1109,759
12,4376,2486,1347,847,1097,747
13,4313,2438,1333,833,1083,733
14,4246,2381,1326,826,1076,726
15,4201,2332,1320,820,1070,720
16,4141,2283,1308,808,1058,708
17,4099,2228,1295,795,1045,695
18,4049,2170,1278,778,1028,678
19,3990,2118,1260,760,1010,660
20,3939,2067,1255,755,1005,655
21,3888,2011,1236,736,986,636
22,3839,1960,1216,716,966,616
23,3789,1900,1209,709,959,609
24,3721,1839,1197,697,947,597
25,3665,1783,1177,677,927,577
26,3605,1727,1170,670,920,570
27,3558,1670,1163,663,913,563
28,3495,1607,1144,644,894,544
29,3435,1544,1125,625,875,525
30,3376,1478,1119,619,869,519
31,3304,1413,1114,614,864,514
32,3242,1348,1094,594,844,494
33,3192,1283,1079,579,829,479
34,3142,1218,1059,559,809,459
35,3087,1159,1040,540,790,440
36,3024,1091,1026,526,776,426
37,2968,1022,1013,513,763,413
38,2917,954,994,494,744,394
39,2851,885,980,480,730,380
40,2802,818,970,470,720,370
41,2746,753,952,452,702,352
42,2688,688,932,432,682,332
43,2629,622,918,418,668,318
44,2556,548,910,410,660,310
45,2505,481,894,394,644,294
46,2431,414,888,388,638,288
47,2364,348,878,378,628,278
48,2315,279,868,368,618,268
49,2268,206,848,348,598,248
50,2225,139,834,334,584,234
51,2170,61,824,324,574,224
52,2122,-10,805,305,555,205
